Course,Credits,Category,Prerequisites,SpecialPermission
MATH115,3,Benchmark,,
PSYC100,3,Benchmark,,
STAT100,3,Benchmark,"MATH115",
INST126,3,Benchmark,,
INST201,3,Benchmark,,

INST311,3,Core,"PSYC100|SOCY105",
INST314,3,Core,"INST126,STAT100|MATH115",
INST326,3,Core,"INST126|GEOG276",
INST327,3,Core,"INST126|BSOS233|GEOG276",
INST335,3,Core,"INST201|INST301,PSYC100",
INST346,3,Core,"INST201|INST301,INST326,INST327",Yes
INST352,3,Core,"INST201|INST301,INST311",
INST362,3,Core,"INST201|INST301,PSYC100|SOCY105,INST326,STAT100",
INST490,3,Core,"INST311,INST314,INST326,INST327,INST335,INST346,INST352,INST362",Yes

INST354,3,Elective,"INST201|INST301,INST314,PSYC100",
INST377,3,Elective,"INST201|INST301|BSOS233,INST327,STAT100,MATH115+",
INST410,3,Elective,"INST126,STAT100,PSYC100|SOCY105,INST201|INST301,MATH115+",
INST414,3,Elective,"MATH115+,STAT100,INST126|GEOG276,INST201|INST301|BSOS233,AASP101|ANTH210|ANTH260|ECON200|ECON201|GEOG202|GVPT170|PSYC100|SOCY100,BSOS233|INST314",
INST447,3,Elective,"STAT100,INST327,INST201|INST301|BSOS233,AASP101|ANTH210|ANTH260|ECON200|ECON201|GEOG202|GVPT170|PSYC100|SOCY100|SOCY105,AASP210|ECON230|GEOG306|GVPT201|INST314|PSYC200|SOCY201,BSOS326|INST326",
INST462,3,Elective,"STAT100,INST201|INST301|BSOS233,INST126|GEOG276,AASP101|ANTH210|ANTH260|ECON200|ECON201|GEOG202|GVPT170|PSYC100|SOCY100|SOCY105,BSOS233|INST314",

INST341,3,Elective,"INST311",
INST441,3,Elective,"INST341|INST380",
INST442,3,Elective,"INST342|INST380",

INST402,3,Elective,"INST362|INST367",
INST408,3,Elective,"INST362|INST367",

INST364,3,Elective,"INST201|INST301,INST327,STAT100,MATH115,PSYC100",
INST366,3,Elective,"INST126|GEOG276|BSOS233,STAT100,AASP101|ANTH210|ANTH260|ECON200|ECON201|GEOG202|GVPT170|PSYC100|SOCY100|SOCY105",
INST464,3,Elective,"INST201,INST126,MATH115,PSYC100,INST364",
INST466,3,Elective,"INST201|INST301,PSYC100|SOCY105"
